Unnamed: 0,번호,제목,저자,출판사,출판일
,47,A UHPLC-HRMS based metabolomics and chemoinformatics approach to chemically distinguish 'super foods' from a variety of plant-based foods,"Di Ottavio, Francesca; Gauglitz, Julia M.; Ernst, Madeleine; Panitchpakdi, Morgan W.; Fanti, Federico; Compagnone, Dario; Dorrestein, Pieter C.; Sergi, Manuel","Elsevier Science B.V., Amsterdam.",2020
,48,Characterization and Antimicrobial Resistance of Listeria monocytogenes Isolated from Food-related Environments,unknown,International Association for Food Protection,2016
,49,"The Legal Status and Regulatory Context of ""Health Foods"" in the European Union","Coutrelis, N.",Food and Drug Law Institute; 1999,2003
,50,Brain Food: Bringing Psychological Insights to Bear on Modern Nutrition Labeling Efforts,"Szanyi, J.M.",Food and Drug Law Institute; 1999,2010
,51,"MOOD FOOD: The science is there, apparently, but what about the market for foods that boost the grey matter?",unknown,WILLIAM REED,2006
,52,Food-Grade Antioxidants and Antimicrobials To Control Growth and Ochratoxin A Production by Aspergillus Section Nigri on Peanut Kernels,"Barberis, C.L.; Astoreca, A.L.; Dalcero, A.M.; Magnoli, C.E.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2010
,53,HR FORUM: Food Manufacture's fourth HR Forum took place at Northern Foods' HQ in Leeds last month,unknown,WILLIAM REED,2006
,54,HEALTH AND NUTRITION: Mpilende Foods is a black owned-and-managed company that has recognised a particular niche within the food-manufacturing industry,"Johannes, J.",NATIONAL PUBLISHING PTY LTD,2011
,55,Food-Consumption Patterns Among Elderly Age Groups,"Harris, J. M.; Blisard, N.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2002
,56,"Animal Foods: Beef, lamb, goat meat, pork, value added meat products; new poultry and egg products",unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2007
,57,Bottom-up Food: Making Ramen a Gourmet Food in Tokyo,"Fukutomi, S.",Taylor & Francis,2014
,58,"Egg safety; new product and market development in poultry, meat and seafood; free range chicken and sustainable seafood; success stories in pork and tuna research; and international seafood events with an Australian `flavour' are just some of the stories in this `protein foods' feature",unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE &amp; TECHNOLOGY,2009
,59,Does the Reduced Food-Related Lifestyle Questionnaire Correctly Classify New Consumers?,"de Boer, M.; McCarthy, M.; Cowan, C.",FOOD PRODUCT PRESS,2004
,60,Application of capillary zone electrophoresis to the study of food and food-model melanoidins,"Morales, F. J.",ELSEVIER APPLIED SCIENCE,2002
,61,Excipient foods: designing food matrices that improve the oral bioavailability of pharmaceuticals and nutraceuticals,"McClements, D.; Xiao, H.",Royal Society of Chemistry,2014
,62,"Drug Residues in Foods: Pharmacology, Food Safety, and Analysis","Botsoglou, N. A.; Fletouris, D. J.",MARCEL DEKKER AG,2003
,63,Migration of surrogate contaminants from paperboard to foods: Effect of food and surrogate properties,"Baele, Maarten; Vermeulen, An; Claes, Maarten; Ragaert, Peter; De Meulenaer, Bruno",Taylor & Francis,2020
,64,Food-pics-PT: Portuguese validation of food images in 10 subjective evaluative dimensions,"Prada, Marília; Rodrigues, David; Garrido, Margarida V.; Lopes, Joana","Elsevier Science B.V., Amsterdam.",2017
,65,"FOOD SAFETY Synthetic food: Ready or not, we've got it covered","Neal,  Glen",PEPPERMINT PRESS LTD,2017
,66,New Thought for Food: An alternative method for new product development involves a systematic process for creating new ideas while utilizing companies' unique resources,"Stern, Y.; Taragin, R.; Larry, S.",INSTITUTE OF FOOD TECHNOLOGISTS,2007
,67,FUNCTIONAL FOODS: Could a functional bar fulfil today's on-the-go lifestyles? Current research in the UK points to a growing demand for snacks that are both healthy and energy-giving. Roxanne Rolando explores food of the future,unknown,NATIONAL PUBLISHING PTY LTD,2011
,68,US Food and Drug Administration regulatory pesticide residue monitoring of human foods: 2009-2017,"Liang, Chia-Pei; Sack, Chris; McGrath, Sara; Cao, Yu; Thompson, Clinton J.; Robin, Lauren Posnick",Taylor & Francis,2021
,69,Probabilistic risk assessment model for allergens in food: sensitivity analysis of the minimum eliciting dose and food consumption,"Kruizinga, A. G.; Briggs, D.; Crevel, R. W.; Knulst, A. C.; Bosch, L. M.; Houben, G. F.","Elsevier Science B.V., Amsterdam.",2008
,70,Food‐productive green infrastructure: Enabling agroecological transitions from an urban design perspective,"Bohn, Katrin; Chu, Dong",John Wiley & Sons Ltd,2021
,71,Biofilms evaluation as an essential component of HACCP for food/dairy processing industry - a case,"Sharma, M.;Anand, S. K.",Elsevier Science,2002
,72,From Betty Crocker to Feminist Food Studies: Critical Perspectives on Women and Food: Edited by Arlene Voski Avakian and Barbara Haber,"Fleitz, Elizabeth J.",Taylor & Francis,2011
,73,"Food-Product Recalls in the U.S., 2000-2003","Salin, V.; Darmasena, S.; Wong, A.; Luo, P.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2006
,74,Migration of food contact substances into dry foods: A review,"Urbelis, Jessica H.; Cooper, Jessica R.",Taylor & Francis,2021
,75,Presence of food-borne pathogens on cattle hides,"Reid, C.-A.;Small, A.;Avery, S. M.;Buncic, S.",Elsevier Science,2002
,76,Comfort Foods-With a Twist Snappy updates of classic comfort foods infuse new life into old favorites while maintaining their core appeal,unknown,PENTON MEDIA,2005
,77,Active soybean lectin in foods: quantitative determination by ELISA using immobilised asialofetuin,"Rizzi, C.; Galeoto, L.; Zoccatelli, G.; Vincenzi, S.; Chignola, R.; Peruffo, A. D.",Published on behalf of the Canadian Institute of Food Science and Technology by Elsevier Applied Science,2003
,78,Food Quality Evaluation using Model Foods: a Comparison Study between Microwave-Assisted and Conventional Thermal Pasteurization Processes,"Bornhorst, E. R.; Liu, F.; Tang, J.; Sablani, S. S.; Barbosa-Cánovas, G. V.",Springer Science + Business Media,2017
,79,FoodEx2vec: New foods' representation for advanced food data analysis,"Eftimov, Tome; Popovski, Gorjan; Valenčič, Eva; Seljak, Barbara Koroušić","Elsevier Science B.V., Amsterdam.",2020
,80,"A Review of: ""From Betty Crocker to Feminist Food Studies: Critical Perspectives on Women and Food""","Rothman, B. K.",Taylor & Francis Group,2007
,81,A Second Generation of Genetically Modified Food: American versus French Perspectives,"Le Marre, K. N.; Witte, C. L.; Burkink, T. J.; Grunhagen, M.; Wells, G. J.",FOOD PRODUCT PRESS,2007
,82,Consumer attitudes and purchase intentions in relation to organic foods in Taiwan: Moderating effects of food-related personality traits,"Chen, M. F.","Elsevier Science B.V., Amsterdam.",2007
,83,Research is showing that a food's structure can have a significant impact on the bioavailability of nutrients,unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2014
,84,"Approaches to risk assessment in food allergy: Report from a workshop ``developing a framework for assessing the risk from allergenic foods""","Madsen, C. B.; Hattersley, S.; Buck, J.; Gendel, S. M.; Houben, G. F.; Hourihane, J. O.; Mackie, A.; Mills, E. N.; Norhede, P.; Taylor, S. L.","Elsevier Science B.V., Amsterdam.",2009
,85,"Comprehensive studies on the trans fatty acid content of Austrian foods: Convenience products, fast food and fats","Wagner, K. H.; Plasser, E.; Proell, C.; Kanzler, S.","Elsevier Science B.V., Amsterdam.",2008
,86,Risk communication in food-safety decision-making,"Probart, C.",FOOD AND AGRICULTURE ORGANIZATION,2002
,87,In vitro control of food-borne and food spoilage bacteria by essential oil and ethanol extracts of Lonicera japonica Thunb.,"Rahman, A.; Kang, S. C.","Elsevier Science B.V., Amsterdam.",2009
,88,Contents of Ag and other metals in food-contact plastics with nanosilver or Ag ion and their migration into food simulants,"Ozaki, Asako; Kishi, Eri; Ooshima, Tomoko; Hase, Atsushi; Kawamura, Yoko",Taylor & Francis,2016
,89,"Warming up to frozen food: The frozen food category is hot, fuelled by consumers seeking value and convenience",unknown,ROGERS MEDIA,2010
,90,Measuring antioxidants in foods. The importance of using more than one antioxidant assay when measuring antioxidant activity of food ingredients,"Skinner, M.",SLICE PUBLICATIONS LTD,2005
,91,Will capacity building training interventions given to street food vendors give us safer food?: A cross-sectional study from India,"Choudhury, M.; Mahanta, L.B.; Goswami, J.S.; Mazumder, M.D.","Elsevier Science B.V., Amsterdam.",2011
,92,The emergence of national food: the dynamics of food and nationalism,"Thomson, Rod",Taylor & Francis,2020
,93,Putting All Your Eggs in One Basket: Egg Safety and the Case for a Single Food-Safety Agency,"Eskin, S. B.",Food and Drug Law Institute; 1999,2004
,94,"Consumer acceptance, valuation of and attitudes towards genetically modified food: Review and implications for food policy","Costa-Font, M.; Gil, J. M.; Traill, W. B.","Elsevier Science B.V., Amsterdam.",2008
,95,Smart packaging solutions to food waste reduction. Paul Butler argues that better and smarter food-saving packaging is needed,unknown,BOSTON HANNAH COMMUNICATIONS,2011
,96,An antioxidant bearberry (Arctostaphylos uva-ursi) extract modulates surface hydrophobicity of a wide range of food-related bacteria: implications for functional food safety,"Dykes, G. A.; Amarowicz, R.; Pegg, R. B.","Elsevier Science B.V., Amsterdam.",2003
,97,"Does food-drink pairings affect appetitive processing of food cues with different rewarding properties? Evidence from subjective, behavioral, and neural measures","Buodo, Giulia; Rumiati, Rino; Lotto, Lorella; Sarlo, Michela","Elsevier Science B.V., Amsterdam.",2019
,98,Handling tempting food in a non-consummatory context reduces subsequent consumption of other tempting food: An extension beyond sweet snacks,"Goddyn, Hannelore; Dewitte, Siegfried","Elsevier Science B.V., Amsterdam.",2017
,99,Studies on the antimicrobial activities of extracts from Eupatorium lindleyanum DC against food spoilage and food-borne pathogens,"Ji, L. L.; Luo, Y. M.; yan, G. L.","Elsevier Science B.V., Amsterdam.",2008
,100,Is there enough evidence for oxidative food?,unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2018
,1,SOAPBOX: Paul King of ROCOL Lubricants discusses how and why food-grade lubrication can help food processors protect their brand,unknown,IML GROUP PLC,2008
,2,"Reply to the Comment on ""Revisiting the carrageenan controversy: do we really understand the digestive fate and safety of carrageenan in our foods?"" by M. Weiner and J. McKim, Food Funct., 2019, 10: DOI: 10.1039/C8FO01282B","David, Shlomit; Fahoum, Lulu; Rozen, Geila; Shaoul, Ron; Shpigelman, Avi; Meyron-Holtz, Esther G.; Lesmes, Uri",Royal Society of Chemistry,2019
,3,Food‐packaging interactions investigated by electrochemical impedance spectroscopy,"Ciobotaru, Ioana‐Alina; Ciobotaru, Irina‐Elena; Vaireanu, Danut‐Ionel; Benga, Florin‐Mihai",Wiley-Blackwell,2018
,4,"Restricting ""Junk Foods"" in School is Not the Answer","Omaye, S. T.",INSTITUTE OF FOOD TECHNOLOGISTS,2002
,5,Common Themes of Safe Food-handling Behavior among Mature Adults,"Boone, K.; Penner, K.; Gordon, J. C.; Remig, V.; Harvey, L.; Clark, T.",International Association for Food Protection,2005
,6,More than Just Food: Food Justice and Community Change,"Navarro, Marilisa Cristina",Taylor & Francis,2018
,7,Is it the plate or is it the food? Assessing the influence of the color (black or white) and shape of the plate on the perception of the food placed on it,"Piqueras-Fiszman, B.; Alcaide, J.; Roura, E.; Spence, C.","Elsevier Science B.V., Amsterdam.",2012
,8,Trans fatty acid content in Malaysian supermarket foods: a field-to-laboratory approach in assessing food risk,"Karupaiah, T.; Tan, H.K.; Ong, W.W.; Tan, C.H.; Sundram, K.",Taylor & Francis,2014
,9,Organic versus conventional food: A comparison regarding food safety,"Garcia, Jorge Miguel; Teixeira, Paula",Taylor & Francis,2017
,10,Frying of Nutritious Foods: Obstacles and Feasibility,"Dana, D.; Saguy, I. S.",JAPANESE SOCIETY FOR FOOD SCIENCE AND TECHNOLOGY,2001
,11,Conventional and food‐to‐food fortification: An appraisal of past practices and lessons learned,"Chadare, Flora Josiane; Idohou, Rodrigue; Nago, Eunice; Affonfere, Marius; Agossadou, Julienne; Fassinou, Toyi Kévin; Kénou, Christel; Honfo, Sewanou; Azokpota, Paulin; Linnemann, Anita R.; Hounhouigan, Djidjoho J.",John Wiley & Sons Ltd,2019
,12,Improving bioavailability of iron in Indian diets through food-based approaches for the control of iron deficiency anaemia,"Sharma, K. K.",FOOD AND AGRICULTURE ORGANIZATION,2003
,13,In vitro digestion of complex foods: How microstructure influences food disintegration and micronutrient bioaccessibility,"Hiolle, M.; Lechevalier, V.; Floury, J.; Boulier-Monthéan, N.; Prioul, C.; Dupont, D.; Nau, F.","Elsevier Science B.V., Amsterdam.",2020
,14,"Regulatory Affairs: When it comes to advertising, what do ``junk food'' and ``healthy food'' really mean?",unknown,ROGERS MEDIA,2008
,15,Characterizing the pH-Dependent Release Kinetics of Food-Grade Spray Drying Encapsulated Iron Microcapsules for Food Fortification,"Pratap Singh, Anubhav; Siddiqui, Juveria; Diosady, Levente L.",Springer Nature,2017
,16,Nanoparticles in food packaging: Biodegradability and potential migration to food—A review,"Souza, Victor Gomes Lauriano; Fernando, Ana Luisa",Elsevier Science B.V. Amsterdam,2016
,17,Intrahousehold distribution of food: A review of the literature and discussion of the implications for food fortification programs,"Berti, P.R.",UNITED NATIONS UNIVERSITY PRESS,2012
,18,More than just food: food justice and community change,"Scanlan, Stephen J.",Taylor & Francis,2018
,19,Bisphenol A diglycidyl ether (BADGE) migrating from packaging material 'disappears' in food: reaction with food components,"Petersen, H.; Biereichel, A.; Burseg, K.; Simat, T. J.; Steinhart, H.",Taylor & Francis,2008
,20,Snack Foods: Choice and variety are the new buzz-words in the Irish snack food industry,unknown,TARA PUBLISHING CO LTD,1997
,21,"Comparison between food-to-food fortification of pearl millet porridge with moringa leaves and baobab fruit and with adding ascorbic and citric acid on iron, zinc and other mineral bioaccessibility","Adetola, Oluyimika, Y.; Kruger, Johanita; White, Zelda; Taylor, John R.N.","Elsevier Science B.V., Amsterdam",2019
,22,Rapid Methods for Quality Assurance of Foods: the Next Decade with Polymerase Chain Reaction (PCR)-Based Food Monitoring,"Medici, D.; Kuchta, T.; Knutsson, R.; Angelov, A.; Auricchio, B.; Barbanera, M.; Diaz-Amigo, C.; Fiore, A.; Kudirkiene, E.; Hohl, A.",Springer Science + Business Media,2015
